"term","package","description","title"
"qt","stats","Quantile function for t-distribution","All Functions of Week 9"
"sqrt","base","Square-root function",""
"pt","stats","Calculate the cumulative distribution function of the t-distribution",""
"library","base","Load an R package",""
"pwr.t.test","pwr","Calculate power, sample size, or effect size for t-tests",""
"cat","base","Concatenate and print objects to the console without quotes or indices",""
"round","base","Rounds numbers",""
"c","base","Combine values/vectors into a vector",""
"sapply","base","Apply a function over a vector or list and simplify the result",""
"ceiling","base","Round numbers up to the smallest following integer",""
"data.frame","base","Create a data.frame from vectors",""
"set.seed","base","Initialise a pseudorandom number generator.",""
"rnorm","base","Generate random numbers from a normal distribution",""
"t.test","stats","Performs one and two sample t-tests on vectors of data.",""
"power_one_sample",NA,NA,""
"power.t.test","stats","Power calculations for one- and two-sample t-tests",""
"sprintf","base","C-style formatted string printing",""
"ggplot","GGPLOT2","Create a ggplot graph",""
"aes","GGPLOT2","Construct aesthetic mapping of a ggplot graph",""
"geom_line","GGPLOT2","Generates a line",""
"geom_hline","GGPLOT2","Add a horizontal line in GGPLOT2",""
"coord_cartesian","GGPLOT2","Zoom into a plot region without removing data (set Cartesian axis limits)",""
"labs","GGPLOT2","Customise labels in GGPLOT2",""
"theme_minimal","GGPLOT2","A minimalistic theme with no background annotations",""
"exists","base","Test whether a named object/variable exists",""
"replicate","base","Repeatedly evaluate an expression (wrapper around sapply)",""
"tibble","tibble","A modern data frame from the tidyverse",""
"geom_histogram","GGPLOT2","Generates a histogram",""
"expression","base","Used in plots to add symbols to axes",""
"stat_ecdf","GGPLOT2","Compute empirical cumulative distribution",""
"geom_abline","GGPLOT2","Add a reference line with a given slope and intercept",""
"scale_x_continuous","GGPLOT2","Customise continuous x axis",""
"scale_y_continuous","GGPLOT2","Customise continuous y axis",""
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"rm","base","Remove objects",""
"ls","base","Return a vector of character strings giving the names of the objects in the specified environment",""
"setwd","base","Set Working Directory",""
"complete.cases","stats","Find Complete Cases",""
"with","base","evaluate expression in the context of a data frame",""
"mean","base","Get mean of a vector",""
"sd","stats","Get standard deviation of a vector",""
"mutate","dplyr","Create new variables",""
"cut","base","Convert Numeric to Factor",""
"prop.test","stats","Test of Equal or Given Proportions",""
"table","base","Obtain frequency table of a variable/cross-tabulation of two variables",""
"ifelse","base","Return a or b depending on the value of test",""
"max","base","Get maximum of a vector",""
"median","stats","Get median of a vector",""
