"","term","description","title"
"1","set",NA,"All Functions of Week 1"
"2","ifelse","return a or b depending on the value of test",""
"3","setwd","Set Working Directory",""
"4","library","load an R package",""
"5","read_dta",NA,""
"6","summary","Obtain summary statistics or detailed regression output",""
"7","mutate","modify/create a column in a data frame",""
"8","ordered",NA,""
"9","cut",NA,""
"10","c","Combine values/vectors into a vector",""
"11","with","evaluate expression in the context of a data frame (without using the “$” operator)",""
"12","table","obtain frequency table of a variable/cross-tabulation of two variables",""
"13","chisq.test",NA,""
