"","term","description","title"
"1","library",NA,"All Functions of Week 4"
"2","setwd",NA,""
"3","read.csv",NA,""
"4","complete.cases",NA,""
"5","with",NA,""
"6","c",NA,""
"7","mean",NA,""
"8","sd",NA,""
"9","t.test",NA,""
"10","mutate",NA,""
"11","cut",NA,""
"12","prop.test",NA,""
"13","table",NA,""
"14","ifelse",NA,""
"15","max",NA,""
"16","median",NA,""
