"term","package","description","title"
"confint","stats","Calculate confidence Intervals for Model Parameters","New Functions in Week 7"
"element_line","GGPLOT2","Customise line appearance",""
"xlab","GGPLOT2","Label the x axis (ggplot)",""
"ylab","GGPLOT2","Label the y axis (ggplot)",""
"ggtitle","GGPLOT2","Generates a title for a ggplot graph",""
"ggsave","GGPLOT2","Save a ggplot to file",""
"list","base","Create a list object",""
"modelsummary","modelsummary","Creates regression and data tables",""
"group_tt","tinytable","Grouping in tinytable",""
"save_tt","tinytable","Save a tinytable object to a file",""
"names","base","Get or set names of an object",""
"dim","base","Get dimensions of a data frame ",""
"class","base","Retrieve class of an R object",""
"subset","base","Return subsets of vectors, matrices or data frames which meet conditions.",""
"geom_hline","GGPLOT2","Add a horizontal line in GGPLOT2",""
"geom_vline","GGPLOT2","Draws a vertical line",""
"save_plot","cowplot","Save a plot to a file",""
