"term","package","description","title"
"library","base","Load an R package","All Functions of Week 7"
"setwd","base","Set Working Directory",""
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"group_by","dplyr","Group tibble/data.frame by a factor variable. All further tidyverse operations are performed group-wise",""
"mutate","dplyr","Create new variables",""
"lag","dplyr","Shift values in a vector or time series",""
"ungroup","dplyr","Resolve grouping created with ""group_by""",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"glm","base","Fits generalized linear models",""
"binomial","base","Family argument in glm()",""
"summary","base","Obtain summary statistics or detailed regression output",""
"seq","base","Create a sequence",""
"pnorm","base","Returns the cumulative distribution function (CDF) of the normal distribution",""
"data.frame","base","Create a data.frame from vectors",""
"subset","base","Return subsets of vectors, matrices or data frames which meet conditions.",""
"c","base","Combine values/vectors into a vector",""
"xlim","ggplot2","A shortcut to set the limits of the x-axis in a ggplot",""
"list","base","Create a list object",""
"scale_color_manual","ggplot2","Manually sets the colours used in a ggplot color scale to user-specified values",""
"rbind","base","Combine R objects by rows",""
"arrange","dplyr","Sort values of data frame according to a variable/combination of variables",""
"grid.arrange","gridExtra","Places graphical objects into a rectangular grid",""
"predict","stats","Generate predicted values from model objects",""
"unlist","base","Flattens a list into a vector by extracting all its elements",""
"roc","pRoc","Create a Receiver Operating Characteristic (ROC) curve",""
"auc","pRoc","Returns the area under the curve",""
"par","graphics","Set parameters of the plotting device",""
"plot","graphics","Generic function from base R to produce a plot",""
"tibble","tibble","A modern data frame from the tidyverse",""
"as.numeric","base","Coerce a vector to numeric",""
"attr","base","Access or modify the attributes of an object",""
"modelsummary","modelsummary","Creates regression and data tables",""
"group_tt","tinytable","Grouping in tinytable",""
"regTermTest","regress","Perform statistical tests for individual regression coefficients",""
