"","term","description","title"
"1","set",NA,"Reading Week Consolidation"
"2","ifelse","return a or b depending on the value of test",""
"3","setwd","Set Working Directory",""
"4","library","load an R package",""
"5","read_dta",NA,""
"6","summary","Obtain summary statistics or detailed regression output",""
"7","mutate","modify/create a column in a data frame",""
"8","ordered",NA,""
"9","cut",NA,""
"10","c","Combine values/vectors into a vector",""
"11","with","evaluate expression in the context of a data frame (without using the “$” operator)",""
"12","table","obtain frequency table of a variable/cross-tabulation of two variables",""
"13","chisq.test",NA,""
"14","prop.test",NA,""
"15","leveneTest",NA,""
"16","t.test",NA,""
"17","read_excel",NA,""
"18","ggplot","Create a ggplot graph",""
"19","aes",NA,""
"20","geom_point",NA,""
"21","geom_smooth",NA,""
"22","theme_classic",NA,""
"23","attach",NA,""
"24","lm",NA,""
