"term","package","description","title"
"as.factor","base","Coerce a vector to factor","New Functions in Week 9"
"relevel","stats","Set a reference level for a factor variable",""
"sapply","base","Apply a function over a vector or list and simplify the result",""
"levels","base","Get levels of a factor ",""
"t.test","stats","Performs one and two sample t-tests on vectors of data.",""
"droplevels","base","Drop Unused Levels from Factors",""
"ifelse","base","Return a or b depending on the value of test",""
"fct_relevel","forcats","Reorder factor levels by hand",""
"median","stats","Get median of a vector",""
"log","base","log (default base = e)",""
