"term","package","description","title"
"setwd","base","Set Working Directory","All Functions of Week 9"
"library","base","Load an R package",""
"read_csv","readr","Read CSV files",""
"with","base","evaluate expression in the context of a data frame",""
"replace","base","Replace elements in a vector",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"is.na","base","Check if a value is NA/elements of vector are NA",""
"factor","base","Create a factor",""
"factor","base","Create factor variables",""
"mutate","dplyr","Create new variables",""
"recode","dplyr","Recode a variable",""
"as.factor","base","Coerce a vector to factor",""
"as.numeric","base","Coerce a vector to numeric",""
"as.character","base","Coerce a vector to character",""
"write.csv","utils","write a csv file to a data frame",""
"lm","stats","Fit linear models using least squares",""
"summary","base","Obtain summary statistics or detailed regression output",""
"relevel","stats","Set a reference level for a factor variable",""
"table","base","Obtain frequency table of a variable/cross-tabulation of two variables",""
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"list","base","Create a list object",""
"c","base","Combine values/vectors into a vector",""
"modelsummary","modelsummary","Creates regression and data tables",""
"group_tt","tinytable","Grouping in tinytable",""
"theme_latex","tinytable","A theme for modelsummary/tinytable tables",""
"theme_classic","GGPLOT2","A minimalistic theme with no gridlines",""
"theme","GGPLOT2","Customize ggplot themes",""
"element_text","GGPLOT2","Customise text in GGPLOT2",""
"margin","GGPLOT2","Set margins around plot elements (used inside theme elements)",""
"element_blank","GGPLOT2","This theme element draws nothing, and assigns no space",""
"sapply","base","Apply a function over a vector or list and simplify the result",""
"sum","base","Get sum of numeric values or a vector",""
"levels","base","Get levels of a factor ",""
"t.test","stats","Performs one and two sample t-tests on vectors of data.",""
"subset","base","Return subsets of vectors, matrices or data frames which meet conditions.",""
"confint","stats","Calculate confidence Intervals for Model Parameters",""
"droplevels","base","Drop Unused Levels from Factors",""
"ifelse","base","Return a or b depending on the value of test",""
"fct_relevel","forcats","Reorder factor levels by hand",""
"mean","base","Get mean of a vector",""
"median","stats","Get median of a vector",""
"prop.table","base","Transform frequency table into table of proportions",""
"ggplot","GGPLOT2","Create a ggplot graph",""
"aes","GGPLOT2","Construct aesthetic mapping of a ggplot graph",""
"geom_bar","GGPLOT2","Generates a bar chart",""
"labs","GGPLOT2","Customise labels in GGPLOT2",""
"geom_point","GGPLOT2","Generates a scatter plot",""
"geom_smooth","GGPLOT2","Generates a smoothed conditional means curve / line",""
"xlab","GGPLOT2","Label the x axis (ggplot)",""
"ylab","GGPLOT2","Label the y axis (ggplot)",""
"log","base","log (default base = e)",""
