"","term","description","title"
"1","set",NA,"All Functions Used So Far, Week 3"
"2","get",NA,""
"3","def.chunk.hook",NA,""
"4","ifelse",NA,""
"5","paste0",NA,""
"6","setwd",NA,""
"7","library",NA,""
"8","read_dta",NA,""
"9","summary",NA,""
"10","mutate",NA,""
"11","ordered",NA,""
"12","cut",NA,""
"13","c",NA,""
"14","with",NA,""
"15","table",NA,""
"16","chisq.test",NA,""
"17","prop.test",NA,""
"18","leveneTest",NA,""
"19","t.test",NA,""
"20","read.spss",NA,""
"21","attach",NA,""
"22","class",NA,""
"23","str",NA,""
"24","head",NA,""
"25","rm",NA,""
"26","ls",NA,""
"27","mean",NA,""
"28","recode",NA,""
"29","factor",NA,""
"30","rbind",NA,""
"31","cbind",NA,""
"32","install.packages",NA,""
"33","freq",NA,""
"34","abs",NA,""
"35","median",NA,""
"36","var",NA,""
"37","sd",NA,""
"38","plot",NA,""
"39","boxplot",NA,""
"40","pie",NA,""
"41","lprop",NA,""
"42","read_excel",NA,""
"43","ggplot",NA,""
"44","aes",NA,""
"45","geom_point",NA,""
"46","geom_smooth",NA,""
"47","theme_classic",NA,""
