"term","package","description","title"
"library","base","Load an R package","All Functions of Week 8"
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"mutate","dplyr","Create new variables",""
"log","base","log (default base = e)",""
"arrange","dplyr","Sort values of data frame according to a variable/combination of variables",""
"group_by","dplyr","Group tibble/data.frame by a factor variable. All further tidyverse operations are performed group-wise",""
"lag","dplyr","Shift values in a vector or time series",""
"ungroup","dplyr","Resolve grouping created with ""group_by""",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"c","base","Combine values/vectors into a vector",""
"pdata.frame","plm","Creates a panel data frame, the data structure used by the plm package for panel/longitudinal data",""
"na.omit","stats","Remove missing values",""
"lm","stats","Fit linear models using least squares",""
"summary","base","Obtain summary statistics or detailed regression output",""
"nobs","stats","Return the number of observations in a model object",""
"plm","plm","Estimates linear panel data models (fixed effects, random effects, pooling, between, first-differences)",""
"vcovSCC","plm","Computes Driscoll and Kraay (SCC) robust covariance matrix estimators for panel models",""
"coeftest","lmtest","Inference for Estimated Coefficients",""
"modelsummary","modelsummary","Creates regression and data tables",""
"list","base","Create a list object",""
"group_tt","tinytable","Grouping in tinytable",""
"theme_latex","tinytable","A theme for modelsummary/tinytable tables",""
