"term","package","description","title"
"qt","stats","Quantile function for t-distribution","New Functions in Week 9"
"sqrt","base","Square-root function",""
"pt","stats","Calculate the cumulative distribution function of the t-distribution",""
"pwr.t.test","pwr","Calculate power, sample size, or effect size for t-tests",""
"cat","base","Concatenate and print objects to the console without quotes or indices",""
"round","base","Rounds numbers",""
"sapply","base","Apply a function over a vector or list and simplify the result",""
"ceiling","base","Round numbers up to the smallest following integer",""
"set.seed","base","Initialise a pseudorandom number generator.",""
"rnorm","base","Generate random numbers from a normal distribution",""
"t.test","stats","Performs one and two sample t-tests on vectors of data.",""
"power_one_sample",NA,NA,""
"power.t.test","stats","Power calculations for one- and two-sample t-tests",""
"sprintf","base","C-style formatted string printing",""
"geom_line","GGPLOT2","Generates a line",""
"geom_hline","GGPLOT2","Add a horizontal line in GGPLOT2",""
"coord_cartesian","GGPLOT2","Zoom into a plot region without removing data (set Cartesian axis limits)",""
"theme_minimal","GGPLOT2","A minimalistic theme with no background annotations",""
"exists","base","Test whether a named object/variable exists",""
"replicate","base","Repeatedly evaluate an expression (wrapper around sapply)",""
"tibble","tibble","A modern data frame from the tidyverse",""
"expression","base","Used in plots to add symbols to axes",""
"stat_ecdf","GGPLOT2","Compute empirical cumulative distribution",""
"geom_abline","GGPLOT2","Add a reference line with a given slope and intercept",""
"scale_y_continuous","GGPLOT2","Customise continuous y axis",""
"complete.cases","stats","Find Complete Cases",""
"prop.test","stats","Test of Equal or Given Proportions",""
