"term","description","title"
"setwd","Set Working Directory","All Functions of Week 9"
"library","load an R package",""
"read_dta",NA,""
"lm",NA,""
"summary","Obtain summary statistics or detailed regression output",""
"stargazer",NA,""
"c","Combine values/vectors into a vector",""
"ggplot","Create a ggplot graph",""
"aes",NA,""
"geom_point",NA,""
"geom_smooth",NA,""
"theme_classic",NA,""
"scale_x_continuous","Customise continuous x axis",""
"seq","create a sequence",""
"ylab",NA,""
"theme","Set theme for GGPLOT2",""
"element_text","Customise text in GGPLOT2",""
"plotPlane",NA,""
