"","term","description","title"
"1","set",NA,"All Functions Used So Far, Week 8"
"2","get",NA,""
"3","def.chunk.hook",NA,""
"4","ifelse",NA,""
"5","paste0",NA,""
"6","include_graphics",NA,""
"7","setwd",NA,""
"8","library",NA,""
"9","read_excel",NA,""
"10","head",NA,""
"11","names",NA,""
"12","str",NA,""
"13","factor",NA,""
"14","mutate",NA,""
"15","recode",NA,""
"16","ordered",NA,""
"17","c",NA,""
"18","cut",NA,""
"19","levels",NA,""
"20","select",NA,""
"21","slice",NA,""
"22","filter",NA,""
"23","arrange",NA,""
"24","desc",NA,""
"25","group_by",NA,""
"26","ungroup",NA,""
"27","summarise",NA,""
"28","mean",NA,""
"29","median",NA,""
"30","summary",NA,""
"31","min",NA,""
"32","max",NA,""
"33","range",NA,""
"34","sd",NA,""
"35","var",NA,""
"36","read.spss",NA,""
"37","attach",NA,""
"38","hist",NA,""
"39","seq",NA,""
"40","boxplot",NA,""
"41","ggplot",NA,""
"42","geom_histogram",NA,""
"43","aes",NA,""
"44","scale_x_continuous",NA,""
"45","labs",NA,""
"46","ggtitle",NA,""
"47","theme_classic",NA,""
"48","sum",NA,""
"49","subset",NA,""
"50","is.na",NA,""
"51","geom_bar",NA,""
"52","class",NA,""
"53","table",NA,""
"54","rm",NA,""
"55","ls",NA,""
"56","rbind",NA,""
"57","cbind",NA,""
"58","install.packages",NA,""
"59","freq",NA,""
"60","abs",NA,""
"61","plot",NA,""
"62","pie",NA,""
"63","lprop",NA,""
"64","order",NA,""
"65","layout",NA,""
"66","matrix",NA,""
"67","unique",NA,""
"68","which.max",NA,""
"69","tabulate",NA,""
"70","match",NA,""
"71","get_mode",NA,""
"72","density",NA,""
"73","round",NA,""
"74","sample",NA,""
"75","set.seed",NA,""
"76","rnorm",NA,""
"77","as.data.frame",NA,""
"78","after_stat",NA,""
"79","geom_density",NA,""
"80","xlab",NA,""
"81","ylab",NA,""
"82","theme_bw",NA,""
"83","grid.arrange",NA,""
"84","runif",NA,""
"85","rbeta",NA,""
"86","read.csv",NA,""
"87","complete.cases",NA,""
"88","with",NA,""
"89","t.test",NA,""
"90","prop.test",NA,""
"91","theme",NA,""
"92","element_text",NA,""
"93","geom_point",NA,""
"94","sample_n",NA,""
"95","dnorm",NA,""
"96","data.frame",NA,""
"97","grobTree",NA,""
"98","textGrob",NA,""
"99","expression",NA,""
"100","gpar",NA,""
"101","paste",NA,""
"102","bar",NA,""
"103","scale_y_continuous",NA,""
"104","geom_segment",NA,""
"105","geom_ribbon",NA,""
"106","element_blank",NA,""
"107","unit",NA,""
"108","arrow",NA,""
"109","annotation_custom",NA,""
"110","as.numeric",NA,""
"111","addmargins",NA,""
"112","as.factor",NA,""
"113","chisq.test",NA,""
"114","cor",NA,""
"115","cor.test",NA,""
"116","prop.table",NA,""
"117","which",NA,""
"118","tapply",NA,""
"119","barplot",NA,""
"120","grid",NA,""
"121","par",NA,""
"122","dim",NA,""
"123","geom_smooth",NA,""
"124","geom_hline",NA,""
"125","geom_vline",NA,""
"126","lm",NA,""
"127","stargazer",NA,""
"128","quantile",NA,""
"129","colnames",NA,""
"130","print",NA,""
"131","reorder",NA,""
"132","coord_flip",NA,""
"133","confint",NA,""
"134","predict",NA,""
"135","scale_colour_manual",NA,""
