"","term","description","title"
"1","set",NA,"All Functions of Week 2"
"2","ifelse","return a or b depending on the value of test",""
"3","setwd","Set Working Directory",""
"4","library","load an R package",""
"5","read_dta",NA,""
"6","mutate","modify/create a column in a data frame",""
"7","ordered",NA,""
"8","cut",NA,""
"9","c","Combine values/vectors into a vector",""
"10","table","obtain frequency table of a variable/cross-tabulation of two variables",""
"11","prop.test",NA,""
"12","leveneTest",NA,""
"13","t.test",NA,""
